Tourament,Team,Player,Scene
KQXXV,4337 6300 7298 1425,Helen Lau,CHI
KQXXV,4337 6300 7298 1425,Justin Buth,CHI
KQXXV,4337 6300 7298 1425,Andrew Quang,CHI
KQXXV,Hive of the Mantis,Brandon Robertson,ATX
KQXXV,Hive of the Mantis,Adriana Steinberg,ATX
KQXXV,Hive of the Mantis,Josh Bird,ATX
KQXXV,Hive of the Mantis,Trak Baller,ATX
KQXXV,Hive of the Mantis,Jonathan Pollard,ATX
KQXXV,CHOOSE TO BE HAPPY,Rob Hornstra,CHI
KQXXV,CHOOSE TO BE HAPPY,Katie Rhodes,CHI
KQXXV,CHOOSE TO BE HAPPY,Kiera DeFrange,PDX
KQXXV,CHOOSE TO BE HAPPY,Jon Duong,CHI
KQXXV,CHOOSE TO BE HAPPY,Nick Davis,CHI
KQXXV,Goats,Karl Nann,MPLS
KQXXV,Goats,Matt Woelfel,MPLS
KQXXV,Goats,Ryan Palach,MPLS
KQXXV,Goats,J Sisk,MPLS
KQXXV,Goats,Kayla Grothaus,MPLS
KQXXV,TOXIC AVENGERS,Nathan Palmer,MPLS
KQXXV,TOXIC AVENGERS,Bobby Hutter,CLT
KQXXV,TOXIC AVENGERS,Andrea Newell,MPLS
KQXXV,TOXIC AVENGERS,Mitchell Heck,MPLS
KQXXV,TOXIC AVENGERS,Michelle Lutz,MPLS
KQXXV,Bee Trayl,Todd Hansen,CHI
KQXXV,Bee Trayl,Michael Rasnic,CHI
KQXXV,Bee Trayl,Johnny Summerville,CHI
KQXXV,Bee Trayl,Kevin Merryman,CHI
KQXXV,Bee Trayl,JD Look,CHI
KQXXV,MN Mean,"Matthew ""Arde"" Zwilling",MPLS
KQXXV,MN Mean,Paul Fore,MPLS
KQXXV,MN Mean,Dan Miller,MPLS
KQXXV,MN Mean,Joe Miller,MPLS
KQXXV,MN Mean,Nick Larsen,MPLS
KQXXV,quave,Brian Lee,SF
KQXXV,quave,Chris Baldwin,MPLS
KQXXV,quave,Belia Portillo,CHI
KQXXV,quave,Billy Faldo,KC
KQXXV,quave,Javan Ivey,PDX
KQXXV,Full TILT,Dee Burling,MPLS
KQXXV,Full TILT,Justin Henry,MPLS
KQXXV,Full TILT,Mark Nelson,MPLS
KQXXV,Full TILT,Francis Sullivan,MPLS
KQXXV,Full TILT,Paul HIllman,MPLS
KQXXV,Checkers Your Privilege,Kyle Shipwash,CLT
KQXXV,Checkers Your Privilege,Imandra McKenzie,PDX
KQXXV,Checkers Your Privilege,Andy Laber,KC
KQXXV,Checkers Your Privilege,Ryan Waisner,CHI
KQXXV,Checkers Your Privilege,Jorge Hernandez,CLT
KQXXV,DAAT J,Andi Slobodien,SF
KQXXV,DAAT J,Asher Toback,PDX
KQXXV,DAAT J,Dylan Higgins,PDX
KQXXV,DAAT J,Andrew Kelley,NY
KQXXV,DAAT J,Jack Salaski,MPLS
KQXXV,Pigeon Rats,Marian Wu,NY
KQXXV,Pigeon Rats,Mustafa Allsop,NY
KQXXV,Pigeon Rats,Anthony Paredes,NY
KQXXV,Pigeon Rats,Richard Chan,NY
KQXXV,Pigeon Rats,Drew Sandquist,NY
KQXXV,Bonus 👸,Michael Esparza,KC
KQXXV,Bonus 👸,Stephi Castillo,CHI
KQXXV,Bonus 👸,Travis Teta,CLT
KQXXV,Bonus 👸,Aaron Tran,CLT
KQXXV,Bonus 👸,Jose Velasco,CLT
KQXXV,Manners,John Koutroulakis,CLT
KQXXV,Manners,Amanda Lax,CLT
KQXXV,Manners,Emily Gamble,CLT
KQXXV,Manners,Eli Azizy,CLT
KQXXV,Manners,Ryan McKusick,CLT
KQXXV,Bertiful,Bert Wierenga,CHI
KQXXV,Bertiful,Christina Norton,CHI
KQXXV,Bertiful,Brian Susman,CHI
KQXXV,Bertiful,Nick Giacone,CHI
KQXXV,Bertiful,John Colby Cook,CHI
KQXXV,Yeesh,Woody Stanfield,CHI
KQXXV,Yeesh,Rishi Khullar,CHI
KQXXV,Yeesh,Chris Cadayona,CHI
KQXXV,Yeesh,Dan Barron,CHI
KQXXV,Yeesh,Logan David,PDX
KQXXV,Sam Is Coming,Sam Beckman,NY
KQXXV,Sam Is Coming,Sarah Greenwood,NY
KQXXV,Sam Is Coming,Brian Wong,NY
KQXXV,Sam Is Coming,Austin Waters,NY
KQXXV,Sam Is Coming,Brian Lancaster,CLT
KQXXV,Ooh Ah Ah Ah Ah,Brendan McGarry,KC
KQXXV,Ooh Ah Ah Ah Ah,Brandon Johnson,PDX
KQXXV,Ooh Ah Ah Ah Ah,Ben Mills,LA
KQXXV,Ooh Ah Ah Ah Ah,Austin Turney,KC
KQXXV,Ooh Ah Ah Ah Ah,Wyatt Roberts,KC
KQXXV,"You're Tearing Me Apart, Lisa!",Lisa Steward,CBUS
KQXXV,"You're Tearing Me Apart, Lisa!",Chris Steinberg,ATX
KQXXV,"You're Tearing Me Apart, Lisa!",Christop Corley,CHA
KQXXV,"You're Tearing Me Apart, Lisa!",Chase Reeve,CHA
KQXXV,"You're Tearing Me Apart, Lisa!",Josh Eklow,CHI
KQXXV,Seattle Boopersonics,David Walsh,SEA
KQXXV,Seattle Boopersonics,Nate Sloat,SEA
KQXXV,Seattle Boopersonics,Kevin Marnell,SEA
KQXXV,Seattle Boopersonics,Evan Severson,SEA
KQXXV,Seattle Boopersonics,Gabriel Sosa,SEA
KQXXV,Not So Safe,Mitch Diemert,CBUS
KQXXV,Not So Safe,Joe Woolum,CBUS
KQXXV,Not So Safe,Courtney,CBUS
KQXXV,Not So Safe,Ken Mosley,CBUS
KQXXV,Not So Safe,Zac Robinson,CBUS
KQXXV,Queen's Revenge,Jacob LaSchultz,CLT
KQXXV,Queen's Revenge,Courtney LaSchultz,CLT
KQXXV,Queen's Revenge,Cheyenne Steel,CLT
KQXXV,Queen's Revenge,Steven Saenz,CLT
KQXXV,Queen's Revenge,Truett Grigg,CLT
KQXXV,P.E. AbsenBees,Jordan Navarra,CLT
KQXXV,P.E. AbsenBees,Nicole Boi Vall,CLT
KQXXV,P.E. AbsenBees,Andrew Griner,CLT
KQXXV,P.E. AbsenBees,Maria BoiEll,CLT
KQXXV,P.E. AbsenBees,Andrew Talarico,CLT
KQXXV,Spicy Boiz,Melanie Brown,SEA
KQXXV,Spicy Boiz,Tressa Points,SEA
KQXXV,Spicy Boiz,Marina Catherine,MPLS
KQXXV,Spicy Boiz,Keli Gilbertson,MPLS
KQXXV,Spicy Boiz,Taylor Robbins,SEA
KQXXV,God Slay the Queen,Matthew Anderson,CHA
KQXXV,God Slay the Queen,Casey Campbell,CHA
KQXXV,God Slay the Queen,Jason Maxwell,CHA
KQXXV,God Slay the Queen,Camille Cass,CHA
KQXXV,God Slay the Queen,Shelby Renee,MPLS
KQXXV,Bruiser's Bois,Alex Valdez,MAD
KQXXV,Bruiser's Bois,Hilton Jones,MAD
KQXXV,Bruiser's Bois,Philip Repsher,CHI
KQXXV,Bruiser's Bois,Andrea Buiser,MPLS
KQXXV,Bruiser's Bois,Chuck Bressan,CHI
KQXXV,FSU,Tiana Tan,NY
KQXXV,FSU,Andrew Daugherty,NY
KQXXV,FSU,Jenny Chang,NY
KQXXV,FSU,Mike Dooley,NY
KQXXV,FSU,Kevin Constantino,NY
KQXXV,Ledges of the Hidden Temple,David Kirk,CHI
KQXXV,Ledges of the Hidden Temple,Anna Thornton,MPLS
KQXXV,Ledges of the Hidden Temple,Jason Steckey,CLT
KQXXV,Ledges of the Hidden Temple,Jacob Whiteoak,MPLS
KQXXV,Ledges of the Hidden Temple,Steve Titra,CHI
KQXXV,No More Beeroes,Eli Whitney,KC
KQXXV,No More Beeroes,Thomas Hardy,KC
KQXXV,No More Beeroes,Hugo Meneses,KC
KQXXV,No More Beeroes,Joshua Liang,KC
KQXXV,No More Beeroes,Ryan Lee Toms,KC
KQXXV,Must Bee the Honey,Troy Stenstrom,MPLS
KQXXV,Must Bee the Honey,Taylor Christianson,MPLS
KQXXV,Must Bee the Honey,Sarah Stewart,MPLS
KQXXV,Must Bee the Honey,Geovanny Tzarax,MPLS
KQXXV,Must Bee the Honey,Matt Merritt,MPLS
KQXXV,Mostly Alex,Alex Meester,MPLS
KQXXV,Mostly Alex,Steven Do,PDX
KQXXV,Mostly Alex,Alex Hogan,CBUS
KQXXV,Mostly Alex,Tony Hauber,ELK
KQXXV,Mostly Alex,Alex Kogan,CHI
KQXV,Day,Andrew Quang,CHI
KQXV,Day,Dan Barron,CHI
KQXV,Day,Bart,CHI
KQXV,Day,Megan Stetz,CHI
KQXV,Day,Cole Murphy,CHI
KQXV,Pizza on my Nikes,Dylan Conrad,CHI
KQXV,Pizza on my Nikes,Cody Frederickson,PDX
KQXV,Pizza on my Nikes,Aaron Goldberg,CHI
KQXV,Pizza on my Nikes,Matt Feldkamp,KC
KQXV,Pizza on my Nikes,Cesar Bustos,CHI
KQXV,For Whom the Taco Bell Tolls,Paul Thomas,CHI
KQXV,For Whom the Taco Bell Tolls,Rachel Weitz,CHI
KQXV,For Whom the Taco Bell Tolls,Helen Lau,CHI
KQXV,For Whom the Taco Bell Tolls,Steve Titra,CHI
KQXV,For Whom the Taco Bell Tolls,John Colby Cook,CHI
KQXV,Last Call For Alcohol,Newman Reinhart,KC
KQXV,Last Call For Alcohol,Scott Christopher Aldridge,KC
KQXV,Last Call For Alcohol,Austin Turney,KC
KQXV,Last Call For Alcohol,Jared Douglas,KC
KQXV,Last Call For Alcohol,Wyatt Roberts,KC
KQXV,The Combunists,Damish Shah,NY
KQXV,The Combunists,Daphane Love,NY
KQXV,The Combunists,Marian Wu,NY
KQXV,The Combunists,Anthony Paredes,NY
KQXV,The Combunists,Victor Jardim,NY
KQXV,Full Snail University,Andrew Daugherty,NY
KQXV,Full Snail University,Tiana Tan,NY
KQXV,Full Snail University,Jenny Chang,NY
KQXV,Full Snail University,Mike Dooley,NY
KQXV,Full Snail University,Charles Pratt,NY
KQXV,"It's Fine, Fernet About It",Michael Esparza,CHI
KQXV,"It's Fine, Fernet About It",Christina Norton,CHI
KQXV,"It's Fine, Fernet About It",Stephi Castillo,CHI
KQXV,"It's Fine, Fernet About It",Josh Eklow,CHI
KQXV,"It's Fine, Fernet About It",Todd Hansen,CHI
KQXV,Tap Water Braised Cabbage,David Kirk,CHI
KQXV,Tap Water Braised Cabbage,Mariano,CHI
KQXV,Tap Water Braised Cabbage,Antonio,CHI
KQXV,Tap Water Braised Cabbage,Rishi Khullar,CHI
KQXV,Tap Water Braised Cabbage,Mark,CHI
KQXV,Anaphylaxis,Mustafa Allsop,NY
KQXV,Anaphylaxis,Sarah Greenwood,NY
KQXV,Anaphylaxis,Andrew Kelley ,NY
KQXV,Anaphylaxis,Brian Wong,NY
KQXV,Anaphylaxis,Richard Chan,NY
KQXV,Queenceneara,Cesar Bustos,CHI
KQXV,Queenceneara,Chris Cadayona,CHI
KQXV,Queenceneara,Adam Babel,CHI
KQXV,Queenceneara,Spencer Kern,CHI
KQXV,Queenceneara,Chris T,CHI
KQXV,LORD MOIST,Billy Faldo,KC
KQXV,LORD MOIST,Christian,KC
KQXV,LORD MOIST,Dennis Chem,KC
KQXV,LORD MOIST,Nicky,KC
KQXV,LORD MOIST,Bunmi M,KC
KQXV,TallBoyz,Ammar Ahmed,CLT
KQXV,TallBoyz,Travis Teta,CLT
KQXV,TallBoyz,Kristian,CLT
KQXV,TallBoyz,Andrew Griner,CLT
KQXV,TallBoyz,Ryan Lescoe,CLT
KQXV,Yass Queens,Cheyenne Steel,CLT
KQXV,Yass Queens,Jorge Hernandez,CLT
KQXV,Yass Queens,Aaron Tran,CLT
KQXV,Yass Queens,Megan Hirschy,CLT
KQXV,Yass Queens,Jason Steckey,CLT
KQXV,Murder Nerds,Anna,CHI
KQXV,Murder Nerds,Belia Portillo,CHI
KQXV,Murder Nerds,Jorge,CHI
KQXV,Murder Nerds,Shawn,CHI
KQXV,Murder Nerds,CB,CHI
KQXV,Man Buns But Better,Craig Payne,CBUS
KQXV,Man Buns But Better,Hell Logsdon,CBUS
KQXV,Man Buns But Better,Blake Compton,CBUS
KQXV,Man Buns But Better,Matt Thompson,CBUS
KQXV,Man Buns But Better,Carlos DeLaSerda,CBUS
KQXV,Malort Sharts,Pawel,CHI
KQXV,Malort Sharts,Katie Rhodes,CHI
KQXV,Malort Sharts,Jennifer,CHI
KQXV,Malort Sharts,Steven Titra,CHI
KQXV,Malort Sharts,Curt,CHI
KQXV,Sting of Queens,Hugo Menesis,KC
KQXV,Sting of Queens,Melissa,KC
KQXV,Sting of Queens,George,KC
KQXV,Sting of Queens,Eli Whitney,KC
KQXV,Sting of Queens,Ryan Waisner,KC
KQXV,Dankey Kang,Brian Kang,NY
KQXV,Dankey Kang,Poe,CHI
KQXV,Dankey Kang,Devin,CHI
KQXV,Dankey Kang,Metal Mike,CHI
KQXV,Dankey Kang,Johnny,CHI
KQXV,Fake Palidrones,,CHI
KQXV,Fake Palidrones,,CHI
KQXV,Fake Palidrones,,CHI
KQXV,Fake Palidrones,,CHI
KQXV,Fake Palidrones,,CHI
KQXV,Harambae Watch,,CHI
KQXV,Harambae Watch,,CHI
KQXV,Harambae Watch,,CHI
KQXV,Harambae Watch,,CHI
KQXV,Harambae Watch,,CHI
MCS-CHI,Toxic Avengers,Nathan Palmer,MPLS
MCS-CHI,Toxic Avengers,Michelle Lutz,MPLS
MCS-CHI,Toxic Avengers,"Matthew ""Arde"" Zwilling",MPLS
MCS-CHI,Toxic Avengers,Kyle Shipwash,CLT
MCS-CHI,Toxic Avengers,Andrew Griner,CLT
MCS-CHI,Crutch City,Cesar Bustos,CHI
MCS-CHI,Crutch City,Aaron Goldberg,CHI
MCS-CHI,Crutch City,Matt Feldkamp,KC
MCS-CHI,Crutch City,Andy Laber,KC
MCS-CHI,Crutch City,David Garzon,CHI
MCS-CHI,Ben.,Andrew Quang,CHI
MCS-CHI,Ben.,Helen Lau,CHI
MCS-CHI,Ben.,Megan Stetz,CHI
MCS-CHI,Ben.,Lev Bakin,MAD
MCS-CHI,Ben.,Jenn Gilbert,MAD
MCS-CHI,Team B.L.A.K.E,Blake Compton,CBUS
MCS-CHI,Team B.L.A.K.E,Lisa Steward,CBUS
MCS-CHI,Team B.L.A.K.E,Alex Hogan,CBUS
MCS-CHI,Team B.L.A.K.E,Ryan Knerr,STL
MCS-CHI,Team B.L.A.K.E,Josh Eklow,CHI
MCS-CHI,quietly yeeshes,Rishi Khullar,CHI
MCS-CHI,quietly yeeshes,Chris Cadayona,CHI
MCS-CHI,quietly yeeshes,Woody Stanfield,CHI
MCS-CHI,quietly yeeshes,Dan Barron,CHI
MCS-CHI,quietly yeeshes,Spencer Kaykew ,CHI
MCS-CHI,Day Berries,Alex Valdez,MAD
MCS-CHI,Day Berries,Philip Repsher,CHI
MCS-CHI,Day Berries,Ryan Waisner,CHI
MCS-CHI,Day Berries,Chuck Bressan,CHI
MCS-CHI,Day Berries,Anna Thornton,MPLS
MCS-CHI,Los We’re Up!,Paul Thomas,CHI
MCS-CHI,Los We’re Up!,Mike Esparza,CHI
MCS-CHI,Los We’re Up!,Carlos DeLaSerda,CBUS
MCS-CHI,Los We’re Up!,Stephi Castillo,CHI
MCS-CHI,Los We’re Up!,Kevin Merryman,CHI
MCS-CHI,Tonya Tryharding,Brian Susman,CHI
MCS-CHI,Tonya Tryharding,Bert Wierenga,CHI
MCS-CHI,Tonya Tryharding,John Colby Cook,CHI
MCS-CHI,Tonya Tryharding,Nick Giacone,CHI
MCS-CHI,Tonya Tryharding,Christina Norton,CHI
MCS-CHI,Chihards,JD Look,CHI
MCS-CHI,Chihards,Nick Davis,CHI
MCS-CHI,Chihards,Adam Babel,CHI
MCS-CHI,Chihards,Diana Moya-James,CHI
MCS-CHI,Chihards,Justin Buth,CHI
MCS-CHI,Mad Chuck,,
MCS-CHI,Mad Chuck,,
MCS-CHI,Mad Chuck,,
MCS-CHI,Mad Chuck,,
MCS-CHI,Mad Chuck,,
MCS-CBUS,Toxic Avengers,Andrew Quang,CHI
MCS-CBUS,Toxic Avengers,Michelle Lutz,MPLS
MCS-CBUS,Toxic Avengers,Nathan Palmer,MPLS
MCS-CBUS,Toxic Avengers,Mitchell Heck,MPLS
MCS-CBUS,Toxic Avengers,Dylan Konrad,CLT
MCS-CBUS,Per My Last Email,Adam Schweikart,CBUS
MCS-CBUS,Per My Last Email,Lisa Steward,CBUS
MCS-CBUS,Per My Last Email,Josh Bird,ATX
MCS-CBUS,Per My Last Email,Duc Nguyen,CBUS
MCS-CBUS,Per My Last Email,Andy,CBUS
MCS-CBUS,🔥,David Walsh,SEA
MCS-CBUS,🔥,Cesar Bustos,CHI
MCS-CBUS,🔥,Blake Compton,CBUS
MCS-CBUS,🔥,Javan Ivey,PDX
MCS-CBUS,🔥,Paul Fore,MPLS
MCS-CBUS,Olde Towne Killers,Hell Logsdon,CBUS
MCS-CBUS,Olde Towne Killers,Craig Payne,CBUS
MCS-CBUS,Olde Towne Killers,Carlos DeLaSerda,CBUS
MCS-CBUS,Olde Towne Killers,Matt Thompson,CBUS
MCS-CBUS,Olde Towne Killers,Kevin Merryman,CBUS
MCS-CBUS,Hogan's Who Evers,Alex Hogan,CBUS
MCS-CBUS,Hogan's Who Evers,Julia Azarcon,CBUS
MCS-CBUS,Hogan's Who Evers,Sam Powers,CBUS
MCS-CBUS,Hogan's Who Evers,Josh DeBonis,NY
MCS-CBUS,Hogan's Who Evers,Christop Corley,CHA
MCS-CBUS,W A R N I N G,Ryan McKusick,CLT
MCS-CBUS,W A R N I N G,Amanda Lax,CLT
MCS-CBUS,W A R N I N G,Nik Mikros,NY
MCS-CBUS,W A R N I N G,JD Look,CHI
MCS-CBUS,W A R N I N G,Emily Gamble,CLT
MCS-CBUS,DeBonus Map,Kyle Shipwash,CLT
MCS-CBUS,DeBonus Map,Stephi Castillo,CLT
MCS-CBUS,DeBonus Map,Travis Teta,CLT
MCS-CBUS,DeBonus Map,Aaron Tran,CLT
MCS-CBUS,DeBonus Map,Andy Laber,KC
MCS-CBUS,Yitzbin Awhile,Woody Stanfield,CHI
MCS-CBUS,Yitzbin Awhile,Dan Barron,CHI
MCS-CBUS,Yitzbin Awhile,Helen Lau,CHI
